KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
1.143,16000,33.131,2.000,10602,1.513,8,2013,12,Poco
1.143,32000,35.909,3.200,36771,3.000,16,2014,1,Medio
1.000,10000,35.909,0.833,2992,0.250,5,2014,2,Medio
1.000,14000,35.909,0.824,4140,1.034,7,2014,3,Poco
1.091,24000,35.909,3.000,25855,0.750,12,2014,4,Medio
1.200,12000,35.909,1.000,4309,0.125,6,2014,5,Medio
1.000,16000,35.909,0.800,4596,1.320,8,2014,6,Poco
1.083,26000,35.909,1.733,16183,1.038,13,2014,7,Medio
1.400,14000,35.909,1.400,7038,0.667,7,2014,8,Medio
1.333,16000,35.909,4.000,22982,0.429,8,2014,9,Medio
1.000,10000,35.909,2.000,7182,0.000,5,2014,10,Medio
1.333,24000,35.909,4.800,41367,0.750,12,2014,11,Medio
1.111,20000,35.909,1.000,7182,0.000,10,2015,1,Mucho
1.000,14000,30.455,2.800,11938,0.000,7,2015,2,Medio
1.250,10000,29.545,0.667,1970,0.750,5,2015,3,Medio
1.000,20000,29.545,2.000,11818,1.364,10,2015,4,Poco
1.000,12000,29.545,1.000,3545,0.000,6,2015,5,Medio
1.000,20000,29.545,3.333,19697,0.000,10,2015,6,Mucho
1.000,12000,29.545,2.000,7091,0.692,6,2015,7,Medio
1.000,4000,29.545,0.500,591,0.000,2,2015,8,Medio
1.600,16000,29.545,2.000,9455,1.333,8,2015,9,Poco
1.500,6000,29.545,0.857,1519,0.000,3,2015,10,Medio
1.000,28000,29.545,2.800,23164,1.615,14,2015,11,Medio
1.000,18000,29.545,4.500,23932,0.360,9,2015,12,Medio
1.444,26000,24.930,2.889,18725,0.115,13,2016,1,Mucho
1.000,16000,24.545,2.000,7855,0.667,8,2016,2,Medio
1.143,16000,24.545,4.000,15709,0.000,8,2016,3,Medio
1.100,22000,24.545,2.444,13200,0.414,11,2016,4,Medio
1.250,10000,24.545,1.111,2727,0.556,5,2016,5,Medio
1.333,24000,24.545,4.000,23564,0.500,12,2016,6,Mucho
1.000,12000,24.545,1.500,4418,0.214,6,2016,7,Medio
1.000,26000,24.545,2.000,12764,0.783,13,2016,8,Mucho
1.000,14000,24.545,2.000,6873,0.677,7,2016,9,Medio
