KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,QUINCENA,RESULTADO
1.304,75000,43.636,0.561,18352,2.797,30,2013,12,23,Poco
1.250,125000,43.636,1.852,101010,1.753,50,2013,12,24,Poco
1.212,100000,43.636,4.706,205348,0.054,40,2014,1,1,Medio
1.200,75000,43.636,1.111,36364,0.375,30,2014,1,2,Medio
1.222,110000,43.636,1.443,69246,0.975,44,2014,2,3,Medio
1.276,92500,43.636,2.176,87850,0.579,37,2014,2,4,Medio
1.207,87500,43.636,1.628,62156,0.324,35,2014,3,5,Medio
1.053,50000,43.636,0.597,13026,0.802,20,2014,3,6,Medio
1.129,87500,43.636,0.769,29371,1.174,35,2014,4,7,Poco
1.087,62500,43.636,0.588,16043,1.833,25,2014,4,8,Poco
1.094,87500,42.442,0.886,32906,1.125,35,2014,5,9,Poco
1.250,50000,41.818,0.513,10723,1.547,20,2014,5,10,Poco
1.176,50000,41.818,0.615,12867,1.088,20,2014,6,11,Poco
1.136,62500,41.818,0.704,18406,1.440,25,2014,6,12,Poco
1.160,72500,41.818,0.853,25860,1.615,29,2014,7,13,Poco
1.211,57500,41.818,0.657,15801,1.338,23,2014,7,14,Poco
1.310,95000,41.818,1.206,47925,1.442,38,2014,8,15,Poco
1.185,80000,41.818,1.362,45555,0.867,32,2014,8,16,Medio
1.261,72500,41.818,0.866,26246,0.677,29,2014,9,17,Medio
1.000,55000,41.818,0.647,14882,1.394,22,2014,9,18,Poco
1.091,60000,41.818,1.021,25625,0.795,24,2014,10,19,Medio
1.296,87500,41.818,1.014,37121,1.000,35,2014,10,20,Poco
1.147,97500,41.818,1.026,41846,1.630,39,2014,11,21,Poco
1.419,110000,41.818,1.872,86128,0.980,44,2014,11,22,Medio
1.182,97500,41.818,1.733,70673,0.381,39,2014,12,23,Medio
1.179,82500,41.818,0.815,28111,0.738,33,2014,12,24,Medio
1.244,140000,41.818,1.534,89823,1.319,56,2015,1,1,Medio
1.310,137500,41.818,2.558,147093,0.516,55,2015,1,2,Mucho
1.176,100000,41.818,1.429,59740,0.438,40,2015,2,3,Medio
1.129,87500,41.818,1.129,41312,0.695,35,2015,2,4,Medio
1.225,122500,41.818,1.661,85089,0.623,49,2015,3,5,Medio
1.200,75000,41.818,0.952,29870,0.774,30,2015,3,6,Medio
1.216,112500,41.818,2.045,96229,0.816,45,2015,4,7,Medio
1.194,92500,41.818,1.721,66569,0.315,37,2015,4,8,Medio
1.152,95000,41.818,1.000,39727,0.804,38,2015,5,9,Medio
1.370,92500,41.818,0.902,34908,1.150,37,2015,5,10,Poco
1.250,87500,41.818,1.094,40021,0.964,35,2015,6,11,Medio
1.400,52500,41.818,1.200,26345,0.764,21,2015,6,12,Medio
1.250,62500,41.818,1.163,30391,0.226,25,2015,7,13,Medio
1.478,85000,41.818,1.046,37186,1.333,34,2015,7,14,Poco
1.385,135000,41.926,1.862,105393,1.088,54,2015,8,15,Medio
1.375,137500,43.035,3.793,224448,0.770,55,2015,8,16,Mucho
1.083,65000,41.818,1.857,50481,0.000,26,2015,9,17,Medio
1.458,87500,41.818,1.346,49257,0.622,35,2015,9,18,Medio
1.152,95000,41.818,2.111,83869,0.621,38,2015,10,19,Medio
1.233,132500,41.818,4.240,234935,0.364,53,2015,10,20,Medio
1.241,90000,41.818,1.469,55302,0.310,36,2015,11,21,Medio
1.265,107500,41.818,1.036,46579,0.850,43,2015,11,22,Medio
1.204,147500,41.818,1.903,117394,1.068,59,2015,12,23,Medio
1.314,167500,41.818,7.444,521449,0.326,67,2015,12,24,Mucho
1.205,117500,41.818,7.833,384902,0.053,47,2016,1,1,Medio
1.667,100000,41.818,2.759,115361,0.156,40,2016,1,2,Medio
1.235,157500,41.818,4.065,267704,0.390,63,2016,2,3,Mucho
1.350,135000,41.818,4.909,277140,0.220,54,2016,2,4,Mucho
1.320,82500,41.818,2.063,71156,0.210,33,2016,3,5,Medio
1.095,57500,41.818,1.000,24045,0.420,23,2016,3,6,Medio
1.250,100000,41.818,2.162,90418,0.682,40,2016,4,7,Medio
1.250,75000,41.818,2.857,89610,0.375,30,2016,4,8,Medio
1.160,72500,41.818,1.349,40894,0.290,29,2016,5,9,Medio
1.176,50000,41.818,0.816,17069,1.030,20,2016,5,10,Poco
1.158,55000,41.818,1.257,28914,0.570,22,2016,6,11,Medio
1.136,62500,41.818,1.563,40838,0.845,25,2016,6,12,Medio
1.250,112500,41.818,2.571,120974,0.537,45,2016,7,13,Medio
1.308,85000,41.818,1.030,36623,0.750,34,2016,7,14,Medio
1.233,92500,39.951,0.974,35982,1.240,37,2016,8,15,Poco
1.125,90000,38.182,0.857,29455,0.853,36,2016,8,16,Medio
1.278,115000,38.182,0.868,38110,1.430,46,2016,9,17,Poco
1.036,72500,38.182,0.537,14866,1.387,29,2016,9,18,Poco
