KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,SEMANA,RESULTADO
1.200,30000,43.636,0.192,2513,3.173,12,2013,12,49,Nada
1.222,27500,43.636,0.171,2047,4.773,11,2013,12,50,Nada
1.136,62500,43.636,0.538,14663,4.784,25,2013,12,51,Nada
1.438,57500,43.636,1.022,25648,2.125,23,2013,12,52,Poco
1.500,22500,43.636,1.385,13594,0.559,9,2013,12,53,Medio
1.000,12500,43.636,0.385,2098,0.105,5,2014,1,1,Medio
1.353,57500,43.636,0.902,22631,1.946,23,2014,1,2,Poco
1.063,42500,43.636,0.531,9852,2.189,17,2014,1,3,Poco
1.333,40000,43.636,0.376,6571,2.467,16,2014,1,4,Poco
1.091,30000,43.636,0.286,3740,2.571,12,2014,1,5,Poco
1.300,65000,43.636,0.712,20204,2.400,26,2014,2,6,Poco
1.154,37500,43.636,0.508,8320,2.056,15,2014,2,7,Poco
1.467,55000,43.636,0.898,21551,1.245,22,2014,2,8,Poco
1.067,40000,43.636,0.842,14699,1.286,16,2014,2,9,Poco
1.462,47500,43.636,0.667,13818,0.623,19,2014,3,10,Medio
1.000,37500,43.636,0.390,6375,2.421,15,2014,3,11,Poco
1.000,15000,43.636,0.145,946,1.860,6,2014,3,12,Poco
1.091,30000,43.636,0.267,3491,3.900,12,2014,3,13,Nada
1.154,37500,43.636,0.492,8048,3.455,15,2014,3,14,Nada
1.111,50000,43.636,0.755,16467,2.091,20,2014,4,15,Poco
1.000,22500,43.636,0.231,2266,1.915,9,2014,4,16,Poco
1.182,32500,43.636,0.313,4442,3.273,13,2014,4,17,Nada
1.077,35000,43.636,0.500,7636,2.500,14,2014,4,18,Poco
1.000,32500,42.238,0.464,6373,1.750,13,2014,5,19,Poco
1.143,40000,41.818,0.395,6608,2.625,16,2014,5,20,Poco
1.375,27500,41.818,0.272,3123,3.209,11,2014,5,21,Nada
1.200,15000,41.818,0.188,1176,2.625,6,2014,5,22,Poco
1.333,20000,41.818,0.208,1738,2.636,8,2014,6,23,Poco
1.100,27500,41.818,0.259,2976,5.760,11,2014,6,24,Nada
1.000,27500,41.818,0.349,4016,4.440,11,2014,6,25,Nada
1.222,27500,41.818,0.338,3892,2.600,11,2014,6,26,Poco
1.214,42500,41.818,0.557,9906,3.545,17,2014,6,27,Nada
1.222,27500,41.818,0.367,4217,1.692,11,2014,7,28,Poco
1.125,22500,41.818,0.269,2528,2.923,9,2014,7,29,Poco
1.222,27500,41.818,0.297,3419,2.351,11,2014,7,30,Poco
1.167,35000,41.818,0.368,5392,4.355,14,2014,7,31,Nada
1.500,45000,41.818,0.818,15397,2.735,18,2014,8,32,Poco
1.154,37500,41.818,0.789,12380,0.907,15,2014,8,33,Medio
1.182,32500,41.818,0.406,5521,1.596,13,2014,8,34,Poco
1.143,40000,41.818,0.516,8633,2.543,16,2014,8,35,Poco
1.417,42500,41.818,0.607,10791,1.568,17,2014,8,36,Poco
1.100,27500,41.818,0.400,4600,2.152,11,2014,9,37,Poco
1.000,22500,41.818,0.290,2732,1.500,9,2014,9,38,Poco
1.000,27500,41.818,0.328,3776,3.243,11,2014,9,39,Nada
1.111,25000,41.818,0.455,4752,2.613,10,2014,9,40,Poco
1.091,30000,41.818,0.490,6145,1.700,12,2014,10,41,Poco
1.182,32500,41.818,0.510,6929,2.909,13,2014,10,42,Poco
1.500,37500,41.818,1.304,20455,1.629,15,2014,10,43,Poco
1.231,40000,41.818,0.696,11636,0.300,16,2014,10,44,Medio
1.105,52500,41.818,0.667,14636,2.864,21,2014,11,45,Poco
1.143,40000,41.818,0.604,10099,1.212,16,2014,11,46,Poco
1.471,62500,41.818,0.758,19800,1.811,25,2014,11,47,Poco
1.333,40000,41.818,0.615,10294,1.645,16,2014,11,48,Poco
1.125,45000,41.818,0.800,15055,0.947,18,2014,11,49,Medio
1.143,40000,41.818,0.492,8235,1.373,16,2014,12,50,Poco
1.167,52500,41.818,0.764,16765,2.280,21,2014,12,51,Poco
1.455,40000,41.818,1.778,29737,0.927,16,2014,12,52,Medio
1.000,10000,41.818,0.154,643,0.057,4,2014,12,53,Medio
1.417,42500,41.818,0.400,7109,3.732,17,2015,1,1,Nada
1.273,70000,41.818,0.836,24467,2.757,28,2015,1,2,Poco
1.176,50000,41.818,0.870,18182,2.020,20,2015,1,3,Poco
1.158,55000,41.818,1.419,32645,0.600,22,2015,1,4,Medio
1.412,60000,41.818,1.231,30881,0.771,24,2015,1,5,Medio
1.214,42500,41.818,0.654,11621,0.955,17,2015,2,6,Medio
1.059,45000,41.818,0.507,9542,1.476,18,2015,2,7,Poco
1.167,35000,41.818,0.424,6209,2.034,14,2015,2,8,Poco
1.182,65000,41.818,0.981,26669,1.592,26,2015,2,9,Poco
1.238,65000,41.818,0.945,25699,1.397,26,2015,3,10,Poco
1.118,47500,41.818,0.594,11794,1.273,19,2015,3,11,Poco
1.364,37500,41.818,0.357,5601,1.521,15,2015,3,12,Poco
1.231,40000,41.818,0.390,6528,2.400,16,2015,3,13,Poco
1.286,45000,41.818,0.720,13549,2.040,18,2015,3,14,Poco
1.118,47500,41.818,0.950,18870,0.980,19,2015,4,15,Medio
1.500,37500,41.818,0.500,7841,1.358,15,2015,4,16,Poco
1.105,52500,41.818,0.538,11822,2.077,21,2015,4,17,Poco
1.235,52500,41.818,0.667,14636,2.291,21,2015,4,18,Poco
1.000,42500,41.818,0.654,11621,1.105,17,2015,5,19,Poco
1.167,35000,41.818,0.373,5464,1.576,14,2015,5,20,Poco
1.357,47500,41.818,0.551,10939,2.538,19,2015,5,21,Poco
1.400,35000,41.818,0.444,6505,1.500,14,2015,5,22,Poco
1.200,30000,41.818,0.375,4705,2.426,12,2015,5,23,Poco
1.353,57500,41.818,0.821,19752,1.733,23,2015,6,24,Poco
1.250,25000,41.818,0.400,4182,1.837,10,2015,6,25,Poco
1.429,25000,41.818,0.667,6970,1.333,10,2015,6,26,Poco
